date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:50	2115/2115	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:32%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/datatables.net-bs4/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/datatables.net-bs4/js/dataTables.bootstrap4.min.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:52	11408/11408	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:36%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/datatables.net-responsive/js/dataTables.responsive.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/datatables.net-responsive/js/dataTables.responsive.min.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:53	83059/83059	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:32%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/datatables.net/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/datatables.net/js/jquery.dataTables.min.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:53	1245/1245	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:36%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:54	253924/253924	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:50:12%20GMT	http://html.codedthemes.com/gradient-able/files/assets/pages/advance-elements/moment-with-locales.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/assets/pages/advance-elements/moment-with-locales.min.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:55	10467/10467	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:50:52%20GMT	http://html.codedthemes.com/gradient-able/files/assets/pages/user-profile.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/assets/pages/user-profile.js	(from http://html.codedthemes.com/gradient-able/default/user-profile.html)
15:39:59	19940/19940	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Dec%202017%2019:50:29%20GMT	http://html.codedthemes.com/gradient-able/files/assets/images/auth/Logo-small-bottom.png	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/assets/images/auth/Logo-small-bottom.png	(from http://html.codedthemes.com/gradient-able/default/auth-lock-screen.html)
15:40:02	35879/35879	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:40%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/i18next/js/i18next.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/i18next/js/i18next.min.js	(from http://html.codedthemes.com/gradient-able/default/auth-lock-screen.html)
15:40:03	3238/3238	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:40%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js	(from http://html.codedthemes.com/gradient-able/default/auth-lock-screen.html)
15:40:05	4118/4118	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2012:48:40%20GMT	http://html.codedthemes.com/gradient-able/files/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js	C:/My%20Web%20Sites/internshipProject/html.codedthemes.com/gradient-able/files/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js	(from http://html.codedthemes.com/gradient-able/default/auth-lock-screen.html)
